Boston Celtics,0.646
Cleveland Cavaliers,0.622
Toronto Raptors,0.622
Washington Wizards,0.598
Atlanta Hawks,0.524
Milwaukee Bucks,0.512
Indiana Pacers,0.512
Chicago Bulls,0.500
Miami Heat,0.500
Detroit Pistons,0.451
Charlotte Hornets,0.439
New York Knicks,0.378
Orlando Magic,0.354
Philadelphia 76ers,0.341
Brooklyn Nets,0.244
Golden State Warriors,0.817
San Antonio Spurs,0.744
Houston Rockets,0.671
Los Angeles Clippers,0.622
Utah Jazz,0.622
Oklahoma City Thunder,0.573
Memphis Grizzlies,0.524
Portland Trail Blazers,0.500
Denver Nuggets,0.488
New Orleans Pelicans,0.415
Dallas Mavericks,0.402
Sacramento Kings,0.390
Minnesota Timberwolves,0.378
Los Angeles Lakers,0.317
Phoenix Suns,0.293
